epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.873,2.40211,3.03357,1.78208,0.29694,0.04726,0.16032,0.04406,2.80152,4.13762,2.29218,0.067541,0.000327869,0.000327869
2,252.501,2.08599,2.14632,1.53428,0.74196,0.31613,0.27186,0.12723,2.15492,2.3506,1.63545,0.0344973,0.000617563,0.000617563
3,377.277,1.99014,1.93187,1.46942,0.78197,0.37392,0.34034,0.16362,2.05636,2.06621,1.57576,0.0014097,0.000863257,0.000863257
4,502.314,1.94124,1.81691,1.44451,0.58349,0.3695,0.35962,0.18289,1.92593,1.80616,1.52431,0.000802,0.000802,0.000802
5,625.237,1.92959,1.7607,1.4375,0.77749,0.39214,0.35026,0.17247,1.85659,1.95494,1.46369,0.000736,0.000736,0.000736
6,750.019,1.84413,1.75166,1.43305,0.68279,0.43457,0.38812,0.18848,1.84932,1.83349,1.41091,0.00067,0.00067,0.00067
7,875.652,1.83336,1.68548,1.41816,0.64665,0.44192,0.37952,0.19365,1.84765,1.71627,1.37624,0.000604,0.000604,0.000604
8,1001.01,1.80332,1.64697,1.38645,0.84877,0.42427,0.41527,0.23319,1.79878,1.64582,1.39134,0.000538,0.000538,0.000538
9,1124.14,1.75702,1.56301,1.37998,0.82762,0.43199,0.41863,0.22362,1.79759,1.62623,1.39488,0.000472,0.000472,0.000472
10,1249.85,1.74338,1.52822,1.36848,0.76767,0.45458,0.42556,0.22952,1.79532,1.54023,1.40054,0.000406,0.000406,0.000406
11,1373.09,1.72187,1.50408,1.34299,0.38189,0.4758,0.42551,0.21306,1.8542,1.59141,1.39745,0.00034,0.00034,0.00034
12,1496.64,1.70038,1.45551,1.32923,0.57358,0.47301,0.43974,0.23852,1.79883,1.54023,1.38735,0.000274,0.000274,0.000274
13,1620.99,1.70332,1.46168,1.34021,0.58213,0.46936,0.44914,0.24889,1.77772,1.52374,1.35942,0.000208,0.000208,0.000208
14,1744.62,1.69204,1.42125,1.3101,0.53687,0.48816,0.43535,0.23682,1.75987,1.50347,1.34876,0.000142,0.000142,0.000142
15,1868.43,1.65583,1.39999,1.29338,0.64839,0.47217,0.44508,0.2537,1.73548,1.48725,1.34176,7.6e-05,7.6e-05,7.6e-05
