epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,456.038,2.24028,4.1578,1.95013,0.71045,0.13989,0.27031,0.1053,1.99585,4.17394,1.74262,0.000468394,0.000468394,0.000468394
2,892.373,1.89043,2.87953,1.63447,0.62328,0.27761,0.25045,0.09759,2.18099,3.5371,1.83625,0.000918005,0.000918005,0.000918005
3,1327.34,1.86397,2.51533,1.60124,0.28335,0.47391,0.3165,0.13078,2.13258,3.51194,1.92097,0.00134067,0.00134067,0.00134067
4,1765.3,1.83237,2.3181,1.577,0.66948,0.45872,0.38753,0.19165,1.85376,2.68864,1.60497,0.00130774,0.00130774,0.00130774
5,2213.54,1.78374,2.15217,1.54418,0.39946,0.51495,0.45089,0.21482,2.01992,3.24825,1.72578,0.00126732,0.00126732,0.00126732
6,2665.25,1.78777,2.05837,1.54136,0.77008,0.53116,0.49641,0.23193,1.9344,2.15959,1.63686,0.0012269,0.0012269,0.0012269
7,3123.09,1.75444,1.97252,1.51153,0.74603,0.53426,0.52018,0.27528,1.76318,2.08919,1.50959,0.00118648,0.00118648,0.00118648
8,3571.74,1.7433,1.8972,1.50976,0.47444,0.54443,0.4826,0.24854,1.85393,1.98906,1.533,0.00114606,0.00114606,0.00114606
9,3994.89,1.70909,1.78402,1.4686,0.53095,0.56855,0.50976,0.25429,1.78163,2.13844,1.55389,0.00110564,0.00110564,0.00110564
10,4425.4,1.67056,1.76974,1.47207,0.79211,0.58966,0.58419,0.2938,1.76688,1.69495,1.48112,0.00106522,0.00106522,0.00106522
11,4871.85,1.66934,1.70557,1.44549,0.78355,0.53999,0.51736,0.25333,1.8258,1.78407,1.59382,0.0010248,0.0010248,0.0010248
12,5307.33,1.64947,1.65728,1.44307,0.56351,0.57484,0.56349,0.2977,1.74677,1.69831,1.48772,0.000984377,0.000984377,0.000984377
13,5733.88,1.6475,1.66473,1.4461,0.6955,0.53512,0.5253,0.27541,1.78396,1.96191,1.50612,0.000943957,0.000943957,0.000943957
14,6174.68,1.65801,1.65576,1.45889,0.75985,0.55894,0.53511,0.28738,1.66617,1.83156,1.50364,0.000903536,0.000903536,0.000903536
15,6614.89,1.64122,1.62428,1.43597,0.60097,0.61194,0.58388,0.3163,1.66291,1.6177,1.42767,0.000863116,0.000863116,0.000863116
16,7064.87,1.64405,1.62808,1.44618,0.81365,0.57152,0.57485,0.31259,1.67995,1.68281,1.45191,0.000822696,0.000822696,0.000822696
17,7520.81,1.6309,1.61438,1.44172,0.53207,0.59368,0.54551,0.27111,1.79974,1.68663,1.47422,0.000782275,0.000782275,0.000782275
18,7977.27,1.60117,1.60386,1.41637,0.53721,0.66725,0.59458,0.32169,1.66099,1.55469,1.41317,0.000741855,0.000741855,0.000741855
19,8433.69,1.5965,1.55268,1.42211,0.49059,0.666,0.57468,0.31515,1.6682,1.56704,1.46495,0.000701435,0.000701435,0.000701435
20,8877.94,1.59885,1.52598,1.41478,0.63496,0.55735,0.60147,0.33055,1.66885,1.50221,1.40019,0.000661015,0.000661015,0.000661015
21,9305.61,1.54556,1.4674,1.38596,0.51558,0.6478,0.54943,0.2953,1.68038,1.65793,1.47575,0.000620594,0.000620594,0.000620594
22,9762.78,1.61815,1.53086,1.41328,0.57539,0.6028,0.56143,0.31338,1.67399,1.54605,1.43953,0.000580174,0.000580174,0.000580174
23,10197,1.57522,1.49358,1.40723,0.48959,0.64816,0.60729,0.33126,1.68739,1.4699,1.41679,0.000539754,0.000539754,0.000539754
24,10643,1.55862,1.43269,1.38657,0.6553,0.61115,0.58992,0.31544,1.70886,1.53492,1.46547,0.000499333,0.000499333,0.000499333
25,11108.2,1.54425,1.45089,1.37121,0.56787,0.61602,0.59992,0.32069,1.68921,1.49722,1.42154,0.000458913,0.000458913,0.000458913
26,11564.3,1.53721,1.37664,1.3772,0.54204,0.65001,0.60319,0.32407,1.65732,1.47649,1.40895,0.000418493,0.000418493,0.000418493
27,12019.8,1.5187,1.34639,1.36274,0.55891,0.64816,0.59878,0.3408,1.6639,1.47493,1.40035,0.000378073,0.000378073,0.000378073
28,12475.2,1.48851,1.32231,1.34148,0.56701,0.63923,0.61292,0.33705,1.65587,1.42369,1.40221,0.000337652,0.000337652,0.000337652
29,12917.8,1.48822,1.29502,1.33426,0.58321,0.67827,0.62491,0.34908,1.6277,1.43946,1.39949,0.000297232,0.000297232,0.000297232
30,13377.4,1.46874,1.24933,1.32579,0.65918,0.6361,0.63119,0.35715,1.61651,1.38451,1.39071,0.000256812,0.000256812,0.000256812
31,13835.6,1.49674,1.25738,1.34238,0.57511,0.67039,0.63871,0.364,1.60821,1.33791,1.38037,0.000216391,0.000216391,0.000216391
32,14281.6,1.4642,1.23946,1.33336,0.62662,0.64952,0.64385,0.36488,1.61005,1.36909,1.39683,0.000175971,0.000175971,0.000175971
33,14725.9,1.45148,1.21363,1.3122,0.64836,0.65426,0.63445,0.36165,1.59224,1.35473,1.38564,0.000135551,0.000135551,0.000135551
34,15180,1.4355,1.20235,1.3146,0.59028,0.66576,0.64091,0.3648,1.63105,1.34482,1.40449,9.51306e-05,9.51306e-05,9.51306e-05
35,15609.8,1.43249,1.18771,1.31008,0.612,0.65243,0.64013,0.36584,1.62456,1.31193,1.39483,5.47103e-05,5.47103e-05,5.47103e-05
